id,conversation_id,participant,turn_id,context,verbatim,words,unit_type,disfluency,laughter,clause,dependent_clause,"coordinate_clause
",ellipsis,comments
48,conversation_019504,participant_12,16099,"The speakers are discussing interactions at a shared workplace, likely a factory. They are recounting recent events, venting frustrations, and sharing commentary on coworkers. The atmosphere is informal and emotionally expressive. participant_12 is criticizing someone (likely a colleague) for being ineffective. He makes a sarcastic remark that this person is supposedly “good,” but clearly wasn’t keeping up with the others the previous night.","participant_12        16097.0        I think he's fucking horrible.
participant_1        16098.0        <laugh> He went oh she's getting angry!
participant_12        16099.0        He's meant to be good th[BEEP]at good he weren't fucking no good last night keeping up with us was he? <pause> <unclear>",He's meant to be good that good he weren't fucking no good last night keeping up with us was he?,full_sentence,present,absent,4,1,0,present,
49,conversation_019504,participant_1,16190,"participant_12 and participant_1 are commenting on someone’s appearance or behavior. participant_12 says ""Doesn't she?"" and participant_1 gives a brief agreement with “Mm.”","participant_12	16189.0	Doesn't she?
participant_1	16190.0	Mm. <pause[BEEP]>
participant_12	16191.0	Oh dear. <pause>",Mm.,single_word,absent,absent,0,0,0,absent,
50,conversation_049001,participant_7,12,"participant_4 asks participant_7 how much Christmas cake is left, and participant_7 responds that there is ""not much"" left. The beep occurs during this response.","participant_4	11.0	How much of that is left?
participant_7	12.0	No[BEEP]t much.
participant_4	13.0	Of the cake?
participant_7	14.0	Not much.",not much,phrase,absent,absent,0,0,0,present,
51,conversation_049002,participant_7,51,"participant_7 is discussing the ""Grace and Favour"" show with participant_4, confirming that it is a new series. The beep occurs during her explanation of the show’s continuity.","participant_4        47.0        new series altogether?
participant_7        48.0        Yeah Gra .
participant_7        49.0        Yeah, the similar <pause> carrying on
participant_4        50.0        Oh.
participant_7        51.0        fr[BEEP]om the Grace Brothers.
participant_4        52.0        That should be <pause> rather nice.",from the Grace Brothers.,phrase,absent,absent,0,0,0,present,
52,conversation_049002,participant_4,95,"participant_7 is commenting on a situation involving taking someone home, and participant_4 responds affirmatively with “Oh yeah!” This is a casual, acknowledging response. The beep falls right after participant_4’s “Oh yeah!”","participant_7        94.0        And then you can't have a drink cos you've got to take her haven't
participant_4        95.0        Oh yeah! [BEEP]
participant_7        96.0        you?
participant_4        97.0        True.",Oh yeah!,phrase,absent,absent,0,0,0,absent,
53,conversation_049003,participant_7,136,participant_7 and participant_4 are in the process of preparing or checking the marmalade. participant_7 is commenting on the state of the marmalade. She asks participant_4 if he thinks the swelling is going down.,"participant_7	135.0	<pause dur=6> Look!
participant_7	136.0	I don't think it's, the swe , the s[BEEP]welling's going down at all do you?
participant_4	137.0	No.","I don’t think it’s, the swe , the swelling’s going down at all do you?",full_sentence,present,absent,3,2,0,present,
54,conversation_049003,participant_7,185,"The conversation seems to be about showing something to someone (perhaps a picture or an item) when they come home. participant_7 is reacting to participant_4’s previous remark, saying “I know she will!” with the beep occurring in the middle of her response.","participant_4        184.0        Well she'll want it in the house and all that!
participant_7        185.0        I kno[BEEP]w.
",I know.,full_sentence,absent,absent,1,0,0,absent,
55,conversation_049004,participant_4,371,"participant_7 asks if the robin had any sultanas. participant_4 responds by commenting on how quick the robin is, saying ""He's a quick mover, ain't he?"" with the beep occurring during his comment.",participant_4: “Y[BEEP]eah.”,Yeah.,single_word,absent,absent,0,0,0,absent,
56,conversation_049004,participant_7,409,"participant_7 is responding to participant_4's suggestion about visiting Madge and Tom. She offers a tentative reply, saying “Could do” with the beep happening at the beginning of her response.","participant_4        406.0        Well let's go down for the jars and then <pause> they can, see
participant_7        407.0        They can take that.
participant_4        408.0        see what they say for ten minutes.
participant_7        409.0        [BEEP]Could do.
",Could do.,fragment,absent,absent,0,0,0,present,
57,conversation_049005,participant_4,765,participant_4 is reflecting on a story about his youth and how life hasn't changed much. The line “It doesn't change much” is a reflective remark following a long anecdote about life and people’s behaviors.,"participant_4: “It doesn't cha[BEEP]nge much.”
participant_4: “I used to run, pick ladies smocks up down the tailors.”",It doesn't change much,full_sentence,absent,absent,1,0,0,absent,
58,conversation_049005,participant_4,1011,"participant_7 is describing recent changes in their town, particularly the demolition of buildings near Downings factory. participant_4 responds with a minimal acknowledgment, “Mm,” during her explanation.","participant_7        1010.0        You know, oh I'm talking about the Newarks, er <pause> you know <pause> down that street
participant_4        1011.0        [BEEP]Mm.",Mm,single_word,absent,absent,0,0,0,absent,
59,conversation_049006,participant_7,1193,"The participants are having breakfast and casually observing things around them, such as food temperature and birds outside the window. participant_4 has been complaining that his tomatoes are cold. participant_7 responds with “Pige[BEEP]ons are down,” shifting the topic, possibly while observing birds outside.","participant_4	1192.0	<pause dur=8> It's cold, mine is.
participant_7	1193.0	Pige[BEEP]ons are down.",Pigeons are down,full_sentence,absent,absent,1,0,0,absent,
60,conversation_049007,participant_7,1458,"The couple is at home, going through a weekend TV guide. participant_7 and participant_4 are reviewing television listings, trying to decide what to watch. participant_4 just told her that Henry V is on from 2:40 to 4:55. participant_7 responds that it’ll finish “about two then, I should think[BEEP],” possibly referring to their meal timing.","participant_7        1455.0        What time is Henry the Eighth, the Fifth?
participant_4        1456.0        That's er, two forty <pause> to, to five minutes to five.
participant_7        1457.0        Ooh a bit after that.
participant_7        1458.0        Finish about two then, I should thin[BEEP]k.
participant_7        1459.0        I don't want it too early because we're late with breakfast this morning.
","Finish about two then, I should think",full_sentence,absent,absent,2,0,0,absent,
61,conversation_049007,participant_4,1608,"participant_4 and participant_7 are discussing television programs, specifically historical or biographical films. participant_4 is describing the plot of a film he wants to watch — “Breaking the Code.” He starts saying, “he bro[BEEP]ke the er…” referring to someone breaking a code. participant_7 affirms (“Mm”), and he continues with “Japanese code.”","participant_7        1605.0        <pause dur=6> Well what's that, Cicero?
participant_4        1606.0        No, he he <pause> he he <pause> he has to break a code, you know, like
participant_7        1607.0        Oh!
participant_4        1608.0        he bro[BEEP]ke the er
participant_7        1609.0        Mm.",he broke the er,fragment,present,absent,1,0,0,indeterminate,
62,conversation_049008,participant_4,1815,"They are at home, sorting through papers and items, possibly related to participant_4's painting or scrapbook materials. participant_4 is searching for something and suddenly exclaims “Christ! It’s go[BEEP]ne.” participant_7 had just been telling him to be careful not to lose something again.","participant_4: “Christ!”
participant_4: “It’s go[BEEP]ne.”
participant_4: “There was a write up in the newspaper…”",It’s gone,full_sentence,absent,absent,1,0,0,absent,
63,conversation_049008,participant_4,2065,"they are engaged in a relaxed debate about health and smoking, drawing examples from people like Winston Churchill. participant_4 and participant_7 are discussing cigars and cigarette smoking in relation to people they know and public figures. participant_4, after repeating the word “Cigars,” says “[BEEP]Oh.”","participant_7        2063.0        Cigars
participant_4        2064.0        Cigars.
participant_4        2065.0        [BEEP]Oh.
participant_7        2066.0        Mm.
",Oh,single_word,absent,absent,0,0,0,absent,
64,conversation_049201,participant_4,2164,"participant_4 and participant_7 are troubleshooting a recording device. participant_4 comments on how many things can go wrong and says, “You’ve gotta [BEEP]watch it all.”","participant_7        2162.0        Well it's funny it's working this time int it? <pause>
participant_4        2163.0        Well there's so many things to go wrong int there?
participant_4        2164.0        You've gotta [BEEP]watch it all.
participant_4        2165.0        <pause dur=8> Is there any, do they want any bread?",You’ve gotta watch it all,full_sentence,absent,absent,1,0,0,absent,
65,conversation_049201,participant_7,2201,"participant_7 is asking participant_4 if he wants cake with his second cup of tea. participant_4 agrees, and she starts to say “There[BEEP]’s not…” before he continues the conversation.","participant_7	2199.0	Now do you want any cake with that second cup of tea?
participant_4	2200.0	Yes I'll have a slice.
participant_7	2201.0	There[BEEP]'s not
participant_4	2202.0	Have you got much left?
participant_7	2203.0	Yeah there's half of it left.",There’s not,fragment,absent,absent,0,0,0,absent,
66,conversation_049203,participant_4,3164,participant_4 and participant_7 are discussing a Walkman that someone named Jackie has. participant_7 is explaining that people use them to listen to the radio. participant_4 responds with “Oh aye I [BEEP]see what you…”,"participant_4        3162.0        Yes but you can tape <unclear>
participant_7        3163.0        I know but if you're out.
participant_4        3164.0        Oh aye I [BEEP]see what you
",I see what you,fragment,present,absent,1,1,0,absent,
67,conversation_049203,participant_4,3550,"They are preparing to do some gluing or craft-related task, and discussing which cloth to use to protect the table. participant_7 is looking for a specific yellow cloth, and participant_4 says, “Didn’t know we had one.” He then continues, “No I didn’t, n[BEEP]ot recently anyway,” clarifying or reinforcing his earlier statement.","participant_7	3548.0	That yellow one, where's that yellow one gone?
participant_4	3549.0	Didn't know we had one.
participant_4	3550.0	<pause> No I didn't, n[BEEP]ot recently anyway.","No I didn’t, not recently anyway.",full_sentence,absent,absent,1,0,0,present,
68,conversation_049204,participant_7,3607,"They are continuing the conversation about organizing albums or tapes. participant_4 is making decisions independently, and participant_7 says: “You never take advice fr[BEEP]om me.”","participant_4        3605.0        I always do.
participant_7        3606.0        I know you do.
participant_7        3607.0        You never take advice fr[BEEP]om me.
participant_7        3608.0        You haven't numbered that one.
participant_4        3609.0        Haven't I?",You never take advice from me,full_sentence,absent,absent,1,0,0,absent,
69,conversation_049205,participant_7,3657,"participant_7 just realized she forgot to take the chicken out of the fridge the night before, which disrupts their plan for dinner. She says, “we can't have dinner so—” and before she continues, participant_4 replies with “Oh dear.”","participant_7        3656.0        Well do you know what, I forgot to take the chicken out of the fridge last night so <pause> we can't have dinner so
participant_4        3657.0        Oh dear.[BEEP]
participant_7        3658.0        too early.",Oh dear.,phrase,absent,absent,0,0,0,absent,
70,conversation_049205,participant_4,3674,"They are exchanging humorous suggestions about breakfast or lunch. participant_7 has been asking participant_4 what he wants to eat. After some playful joking (“burnt chicken,” “chicken fricassee”), he continues the game and adds: “er lightly done kippers on one [BEEP]side.”","participant_7        3669.0        Anyway what are you going to have?
participant_4        3670.0        Burnt chicken
participant_7        3671.0        <unclear> no I'm talking now
participant_4        3672.0        chicken fricassee
participant_7        3673.0        I'm not talking, that's silly.
participant_4        3674.0        er lightly done kippers on one [BEEP]side.
participant_7        3675.0        Ooh.",er lightly done kippers on one side,phrase,present,absent,0,0,0,present,
71,conversation_049206,participant_7,3708,"The couple is reorganizing storage at home. participant_4 suggests storing wine glasses in a chest. participant_7 immediately disagrees and says, “No yo[BEEP]u can't.”","participant_4	3705.0	What about the chest, empty the chest?
participant_7	3706.0	No you can't have gl wine glasses in there.
participant_4	3707.0	Well I should have thought so.
participant_7	3708.0	No yo[BEEP]u can't.",No you can't,full_sentence,absent,absent,0,0,0,present,
72,conversation_049206,participant_4,3724,They’re working together on organizing or updating a photo album or archive system. participant_7 has just asked participant_4 whether he's keeping the index up to date. participant_4 begins to respond with hesitation: “[BEEP]Er well…”,"participant_7        3723.0        Yeah are you keeping the index <pause> up to date now?
participant_4        3724.0        [BEEP]Er well
participant_7        3725.0        I mean on there, how far have you got?
participant_4	3726.0	I've got all that.",Er well,phrase,present,absent,0,0,0,absent,
73,conversation_049301,participant_4,3804,"They are at home, having a playful exchange about drinks. participant_7 has just asked participant_4 if he’s ready for coffee. participant_4 jokes, “Yes, or something stronger.” participant_7 tells him to say what he wants. participant_4 responds with “[BEEP]show me the menu,” continuing the joking tone.","participant_15        3801.0        Are you ready for coffee yet?
participant_4        3802.0        Yes, or something stronger.
participant_7        3803.0        Well , well do, wha say what you want.
participant_4        3804.0        Er <pause> sh[BEEP]ow me the menu.
participant_7        3805.0        <laughing>:[ Don't be silly ]!",Er <pause> show me the menu,full_sentence,present,absent,1,0,0,absent,
